"Job","Panel","Start time","End time","Time","EndTo1st","EndTo1stEnd","EndTo2nd","EndTo2ndEnd","EndTo3rd","EndTo3rdEnd"
"ECH3ESN00003 T&B T A1-LCR","2","2024-07-01 23:59:49","2024-07-02 00:00:50","00:01:01","","","","","",""
"","1","2024-07-01 23:59:49","2024-07-02 00:00:16","27"
"","2","2024-07-02 00:00:23","2024-07-02 00:00:50","27"
"ECH3ESN00003 T&B B A1-LCR","2","2024-07-02 03:41:45","2024-07-02 03:42:13","00:00:28","13255","13255","13283","13283","",""
"","1","2024-07-02 03:41:45","2024-07-02 03:41:45","0"
"","2","2024-07-02 03:42:13","2024-07-02 03:42:13","0"
"ECH3ESN00003 T&B T A1-LCR","2","2024-07-02 03:41:55","2024-07-02 03:43:06","00:01:11","-18","9","20","53","",""
"","1","2024-07-02 03:41:55","2024-07-02 03:42:22","27"
"","2","2024-07-02 03:42:33","2024-07-02 03:43:06","33"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:04:02","2024-07-02 04:04:02","00:00:00","1256","1256","","","",""
"","1","2024-07-02 04:04:02","2024-07-02 04:04:02","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:04:07","2024-07-02 04:04:34","00:00:27","5","32","","","",""
"","1","2024-07-02 04:04:07","2024-07-02 04:04:34","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:04:44","2024-07-02 04:04:44","00:00:00","10","10","","","",""
"","1","2024-07-02 04:04:44","2024-07-02 04:04:44","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:04:41","2024-07-02 04:05:08","00:00:27","-3","24","","","",""
"","1","2024-07-02 04:04:41","2024-07-02 04:05:08","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:05:17","2024-07-02 04:05:17","00:00:00","9","9","","","",""
"","1","2024-07-02 04:05:17","2024-07-02 04:05:17","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:05:15","2024-07-02 04:05:44","00:00:29","-2","27","","","",""
"","1","2024-07-02 04:05:15","2024-07-02 04:05:44","29"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:05:50","2024-07-02 04:05:50","00:00:00","6","6","","","",""
"","1","2024-07-02 04:05:50","2024-07-02 04:05:50","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:05:51","2024-07-02 04:06:17","00:00:26","1","27","","","",""
"","1","2024-07-02 04:05:51","2024-07-02 04:06:17","26"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:06:25","2024-07-02 04:06:25","00:00:00","8","8","","","",""
"","1","2024-07-02 04:06:25","2024-07-02 04:06:25","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:06:24","2024-07-02 04:06:51","00:00:27","-1","26","","","",""
"","1","2024-07-02 04:06:24","2024-07-02 04:06:51","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:06:59","2024-07-02 04:06:59","00:00:00","8","8","","","",""
"","1","2024-07-02 04:06:59","2024-07-02 04:06:59","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:06:57","2024-07-02 04:07:24","00:00:27","-2","25","","","",""
"","1","2024-07-02 04:06:57","2024-07-02 04:07:24","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:07:32","2024-07-02 04:07:32","00:00:00","8","8","","","",""
"","1","2024-07-02 04:07:32","2024-07-02 04:07:32","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:07:31","2024-07-02 04:08:02","00:00:31","-1","30","","","",""
"","1","2024-07-02 04:07:31","2024-07-02 04:08:02","31"
"ECH3ESN00003 T&B B A1-LCR","2","2024-07-02 04:08:04","2024-07-02 04:08:26","00:00:22","2","2","24","24","",""
"","1","2024-07-02 04:08:04","2024-07-02 04:08:04","0"
"","2","2024-07-02 04:08:26","2024-07-02 04:08:26","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:08:09","2024-07-02 04:08:36","00:00:27","-17","10","","","",""
"","1","2024-07-02 04:08:09","2024-07-02 04:08:36","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:09:07","2024-07-02 04:09:07","00:00:00","31","31","","","",""
"","1","2024-07-02 04:09:07","2024-07-02 04:09:07","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:08:43","2024-07-02 04:09:10","00:00:27","-24","3","","","",""
"","1","2024-07-02 04:08:43","2024-07-02 04:09:10","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:09:41","2024-07-02 04:09:41","00:00:00","31","31","","","",""
"","1","2024-07-02 04:09:41","2024-07-02 04:09:41","0"
"ECH3ESN00003 T&B T A1-LCR","4","2024-07-02 04:09:22","2024-07-02 04:11:37","00:02:15","-19","9","16","42","49","76"
"","1","2024-07-02 04:09:22","2024-07-02 04:09:50","28"
"","2","2024-07-02 04:09:57","2024-07-02 04:10:23","26"
"","3","2024-07-02 04:10:30","2024-07-02 04:10:57","27"
"","4","2024-07-02 04:11:04","2024-07-02 04:11:37","33"
"ECH3ESN00003 T&B B A1-LCR","2","2024-07-02 04:11:47","2024-07-02 04:12:09","00:00:22","10","10","32","32","",""
"","1","2024-07-02 04:11:47","2024-07-02 04:11:47","0"
"","2","2024-07-02 04:12:09","2024-07-02 04:12:09","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:11:44","2024-07-02 04:12:11","00:00:27","-25","2","","","",""
"","1","2024-07-02 04:11:44","2024-07-02 04:12:11","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:12:38","2024-07-02 04:12:38","00:00:00","27","27","","","",""
"","1","2024-07-02 04:12:38","2024-07-02 04:12:38","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:12:32","2024-07-02 04:13:00","00:00:28","-6","22","","","",""
"","1","2024-07-02 04:12:32","2024-07-02 04:13:00","28"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:13:07","2024-07-02 04:13:07","00:00:00","7","7","","","",""
"","1","2024-07-02 04:13:07","2024-07-02 04:13:07","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:13:06","2024-07-02 04:13:34","00:00:28","-1","27","","","",""
"","1","2024-07-02 04:13:06","2024-07-02 04:13:34","28"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:13:42","2024-07-02 04:13:42","00:00:00","8","8","","","",""
"","1","2024-07-02 04:13:42","2024-07-02 04:13:42","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:13:41","2024-07-02 04:14:08","00:00:27","-1","26","","","",""
"","1","2024-07-02 04:13:41","2024-07-02 04:14:08","27"
"ECH3ESN00003 T&B B A1-LCR","2","2024-07-02 04:15:53","2024-07-02 04:16:16","00:00:23","105","105","128","128","",""
"","1","2024-07-02 04:15:53","2024-07-02 04:15:53","0"
"","2","2024-07-02 04:16:16","2024-07-02 04:16:16","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:15:59","2024-07-02 04:16:26","00:00:27","-17","10","","","",""
"","1","2024-07-02 04:15:59","2024-07-02 04:16:26","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:16:45","2024-07-02 04:16:45","00:00:00","19","19","","","",""
"","1","2024-07-02 04:16:45","2024-07-02 04:16:45","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:16:33","2024-07-02 04:16:59","00:00:26","-12","14","","","",""
"","1","2024-07-02 04:16:33","2024-07-02 04:16:59","26"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:17:14","2024-07-02 04:17:14","00:00:00","15","15","","","",""
